GeneID,Cor,P
AT3G01472,0.473900249,0
AT1G30860,0.473806309,0
AT2G47800,0.473758083,0
AT3G50590,0.473737989,0
AT1G47816,0.473224082,0
AT5G20990,0.473004553,0
AT5G55450,0.472844303,0
AT1G69870,0.47269862,0
AT5G57190,0.472634822,0
AT5G20830,0.472628291,0
AT5G37160,0.4724168,0
AT2G31880,0.472383143,0
AT5G01900,0.472352499,0
AT2G02010,0.472056111,0
AT1G61660,0.471991307,0
AT2G30550,0.471737619,0
AT1G63840,0.47144525,0
AT1G20350,0.471364371,0
AT1G70990,0.471132284,0
AT3G60164,0.471109678,0
AT5G55150,0.471061954,0
AT4G05050,0.470744969,0
AT3G18370,0.470677654,0
AT2G01008,0.47065756,0
AT1G10470,0.470656053,0
AT3G14790,0.470584216,0
AT5G65110,0.470565127,0
AT4G20830,0.470499821,0
AT5G37480,0.470404374,0
AT1G13550,0.470155207,0
AT4G14640,0.470136118,0
AT3G01470,0.46999797,0
AT3G03970,0.469942209,0
AT1G09920,0.469885946,0
AT3G41762,0.469621206,0
AT1G17170,0.469567454,0
AT4G05020,0.469494613,0
AT5G50560,0.469478537,0
AT1G66780,0.46941725,0
AT5G56340,0.469411222,0
AT2G14560,0.469240924,0
AT4G23800,0.469184159,0
AT1G19860,0.469170595,0
AT5G54165,0.46892394,0
AT1G16150,0.468899324,0
AT1G64385,0.468822967,0
AT5G64890,0.468623533,0
AT5G11630,0.468601931,0
AT2G44010,0.468548682,0
AT5G16960,0.46853763,0
AT4G37780,0.468531602,0
AT1G60780,0.468500456,0
AT2G32670,0.468322623,0
AT1G18300,0.468317097,0
AT4G39640,0.468066423,0
AT3G02150,0.467971981,0
AT1G30250,0.467926769,0
AT2G17740,0.467887083,0
AT1G02530,0.467736377,0
AT5G17760,0.467722814,0
AT1G53750,0.467686644,0
AT2G22480,0.467665545,0
AT2G44290,0.467653991,0
AT3G11800,0.467442501,0
AT5G52200,0.467343537,0
AT1G51913,0.467315405,0
AT4G26060,0.467192329,0
AT2G22500,0.466980336,0
AT2G37430,0.466966772,0
AT5G45240,0.466878358,0
AT5G13480,0.466756286,0
AT1G74340,0.466697009,0
AT5G46130,0.466603571,0
AT5G22900,0.466602566,0
AT2G28180,0.466485016,0
AT5G04720,0.466363446,0
AT5G07760,0.466356413,0
AT4G28570,0.466277544,0
AT5G54840,0.46623836,0
AT3G29650,0.466228816,0
AT1G30780,0.466216257,0
AT3G04580,0.466197168,0
AT1G02440,0.466165519,0
AT5G42050,0.466108251,0
AT5G10695,0.466073086,0
AT4G07703,0.46605902,0
AT2G44410,0.466004264,0
AT4G35240,0.465989696,0
AT2G01480,0.465943982,0
AT2G29990,0.465931423,0
AT4G34150,0.465849539,0
AT1G33860,0.465847027,0
AT5G39680,0.465776698,0
AT5G54510,0.46558932,0
