GeneID,Cor,P
AT1G43700,-0.597873439,0
AT1G52410,-0.59808292,0
AT1G74920,-0.598479779,0
AT4G08900,-0.598635509,0
AT5G14320,-0.598682228,0
AT2G24090,-0.598771646,0
AT1G31070,-0.598911301,0
AT4G34620,-0.599024832,0
AT3G53980,-0.599104706,0
AT5G53940,-0.599121786,0
AT1G43580,-0.599348348,0
AT1G28410,-0.599480467,0
AT1G18170,-0.599544265,0
AT4G33670,-0.599795944,0
AT2G47420,-0.599960716,0
AT5G52920,-0.599973275,0
AT5G65940,-0.599997388,0
AT3G54080,-0.600512802,0
AT2G35795,-0.600807683,0
AT4G00270,-0.600912173,0
AT5G63310,-0.601305515,0
AT2G17695,-0.601309534,0
AT4G17600,-0.601843033,0
AT2G27190,-0.602076125,0
AT5G48412,-0.602267019,0
AT5G38360,-0.602590534,0
AT2G02160,-0.603039638,0
AT3G01520,-0.603042652,0
AT5G06060,-0.603070281,0
AT3G26710,-0.603178789,0
AT1G68660,-0.603199386,0
AT5G05610,-0.603406355,0
AT5G28500,-0.6037575,0
AT1G73060,-0.603869023,0
AT5G02940,-0.603917248,0
AT1G30530,-0.603958944,0
AT1G07170,-0.604241266,0
AT1G49975,-0.604473353,0
AT3G04940,-0.604924969,0
AT2G18440,-0.605320823,0
AT3G15353,-0.605432847,0
AT5G13770,-0.605556426,0
AT4G10300,-0.605598624,0
AT4G15790,-0.605615704,0
AT1G56230,-0.605670963,0
AT1G24822,-0.606011558,0
AT1G14030,-0.606047728,0
AT5G26800,-0.606123081,0
AT5G65760,-0.606282829,0
AT1G48600,-0.606395858,0
AT5G54770,-0.606416455,0
AT4G01450,-0.606551588,0
AT1G35680,-0.60687661,0
AT5G19530,-0.607219215,0
AT5G17870,-0.607328225,0
AT3G15790,-0.607396043,0
AT3G51950,-0.60767083,0
AT3G50440,-0.609083949,0
AT3G10850,-0.609089977,0
AT2G04410,-0.609212552,0
AT4G02230,-0.609719928,0
AT1G18710,-0.609968593,0
AT1G77060,-0.610052486,0
AT5G25475,-0.610295122,0
AT2G24020,-0.610512139,0
AT4G19350,-0.610530726,0
AT1G75350,-0.610630192,0
AT5G46160,-0.610803001,0
AT1G27030,-0.610829626,0
